,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
166,Chauncey Billups,1998,2014,G,6-3,202,"September 25, 1976",University of Colorado
167,Dave Bing*,1967,1978,G,6-3,180,"November 24, 1943",Syracuse University
168,Joe Binion,1987,1987,F,6-8,235,"March 26, 1961",North Carolina Agricultural and Technical State University
169,Khem Birch,2018,2019,C-F,6-9,233,"September 28, 1992","University of Pittsburgh, University of Nevada, Las Vegas"
170,Jabari Bird,2018,2018,G,6-6,198,"July 3, 1994",University of California
171,Jerry Bird,1959,1959,F,6-6,210,"February 2, 1935",University of Kentucky
172,Larry Bird*,1980,1992,F,6-9,220,"December 7, 1956",Indiana State University
173,Otis Birdsong,1978,1989,G,6-3,190,"December 9, 1955",University of Houston
174,Gale Bishop,1949,1949,F,6-3,195,"June 4, 1922",Washington State University
175,Bismack Biyombo,2012,2019,C-F,6-9,255,"August 28, 1992",
176,Nemanja Bjelica,2016,2019,F,6-10,234,"May 9, 1988",
177,Uwe Blab,1986,1990,C,7-1,252,"March 26, 1962",Indiana University
178,Charlie Black,1949,1952,F-C,6-5,200,"June 15, 1921",University of Kansas
179,Norman Black,1981,1981,G,6-5,185,"November 12, 1957",Saint Joseph's University
180,Tarik Black,2015,2018,C-F,6-9,250,"November 22, 1991","University of Memphis, University of Kansas"
181,Tom Black,1971,1971,C,6-10,220,"July 9, 1941",South Dakota State University
182,Rolando Blackman,1982,1994,G,6-6,190,"February 26, 1959",Kansas State University
183,Alex Blackwell,1993,1993,F,6-6,250,"June 27, 1970",Monmouth University
184,Cory Blackwell,1985,1985,F,6-6,210,"March 27, 1963",University of Wisconsin
185,James Blackwell,1995,1995,G,6-0,190,"February 25, 1968",Dartmouth College
186,Nate Blackwell,1988,1988,G,6-4,170,"February 15, 1965",Temple University
187,DeJuan Blair,2010,2016,F-C,6-7,270,"April 22, 1989",University of Pittsburgh
188,Steve Blake,2004,2016,G,6-3,172,"February 26, 1980",University of Maryland
189,Antonio Blakeney,2018,2019,G,6-4,192,"October 4, 1996",Louisiana State University
190,Will Blalock,2007,2007,G,6-0,205,"September 8, 1983",Iowa State University
191,George Blaney,1962,1962,G,6-1,175,"November 12, 1939",College of the Holy Cross
192,Lance Blanks,1991,1993,G,6-4,190,"September 9, 1966","University of Virginia, University of Texas at Austin"
193,Ricky Blanton,1993,1993,F,6-7,215,"April 21, 1966",Louisiana State University
194,Andray Blatche,2006,2014,F,6-11,235,"August 22, 1986",
195,Mookie Blaylock,1990,2002,G,6-0,180,"March 20, 1967","Midland College, University of Oklahoma"
196,Eric Bledsoe,2011,2019,G,6-1,205,"December 9, 1989",University of Kentucky
197,Leon Blevins,1951,1951,G,6-2,160,"June 25, 1926",University of Arizona
198,John Block,1967,1976,F-C,6-9,207,"April 16, 1944",University of Southern California
199,Mike Bloom,1948,1949,F-C,6-6,190,"January 14, 1915",Temple University
200,Jaron Blossomgame,2019,2019,F,6-7,220,"September 16, 1993",Clemson University
201,Corie Blount,1994,2004,F,6-9,240,"January 4, 1969",University of Cincinnati
202,Mark Blount,2001,2009,C,7-0,230,"November 30, 1975",University of Pittsburgh
203,Vander Blue,2014,2018,G,6-4,200,"July 17, 1992",Marquette University
204,Ray Blume,1982,1982,G,6-4,185,"September 23, 1958",Oregon State University
205,Nelson Bobb,1950,1953,G,6-0,170,"February 25, 1924",Temple University
206,Tony Bobbitt,2005,2005,G,6-4,190,"October 22, 1979",University of Cincinnati
207,Bucky Bockhorn,1959,1965,G,6-4,200,"July 8, 1933",University of Dayton
208,Tom Boerwinkle,1969,1978,C,7-0,265,"August 23, 1945",University of Tennessee
209,Keith Bogans,2004,2014,G-F,6-5,215,"May 12, 1980",University of Kentucky
210,Bogdan Bogdanovic,2018,2019,G,6-6,205,"August 18, 1992",
211,Bojan Bogdanovic,2015,2019,G-F,6-8,216,"April 18, 1989",
212,Muggsy Bogues,1988,2001,G,5-3,136,"January 9, 1965",Wake Forest University
213,Andrew Bogut,2006,2019,C,7-0,260,"November 28, 1984",University of Utah
214,Etdrick Bohannon,1998,2001,F,6-9,220,"May 29, 1973","University of Arizona, University of Tennessee, Auburn University at Montgomery"
215,Manute Bol,1986,1995,C,7-7,200,"October 16, 1962",University of Bridgeport
216,Jonah Bolden,2019,2019,F,6-10,220,"January 2, 1996","University of California, Los Angeles"
217,Bill Bolger,1954,1954,F,6-5,205,"August 21, 1931",Georgetown University
218,Joel Bolomboy,2017,2018,F,6-9,235,"January 28, 1994",Weber State University
219,Doug Bolstorff,1958,1958,G,6-4,195,"October 29, 1931",University of Minnesota
220,George Bon Salle,1962,1962,F,6-8,220,"July 1, 1935",University of Illinois at Urbana-Champaign
221,Phil Bond,1978,1978,G,6-2,175,"July 27, 1954",University of Louisville
222,Walter Bond,1993,1995,G,6-5,200,"February 1, 1969",University of Minnesota
223,Dexter Boney,1997,1997,G,6-4,185,"April 27, 1970","University of Nevada, Las Vegas"
224,Isaac Bonga,2019,2019,G,6-8,180,"November 8, 1999",
225,Ron Bonham,1965,1968,F,6-5,192,"May 31, 1942",University of Cincinnati
226,Anthony Bonner,1991,1996,F,6-8,215,"June 8, 1968",Saint Louis University
227,Matt Bonner,2005,2016,F,6-10,235,"April 5, 1980",University of Florida
228,Butch Booker,1970,1970,C,6-10,230,"July 20, 1945",Cheyney University of Pennsylvania
229,Devin Booker,2016,2019,G,6-6,210,"October 30, 1996",University of Kentucky
230,Melvin Booker,1996,1997,G,6-1,185,"August 20, 1972",University of Missouri
231,Trevor Booker,2011,2018,F,6-8,228,"November 25, 1987",Clemson University
232,Josh Boone,2007,2010,F-C,6-10,237,"November 21, 1984",University of Connecticut
233,Ron Boone,1969,1981,G-F,6-2,200,"September 6, 1946",Idaho State University
234,Calvin Booth,2000,2009,C,6-11,230,"May 7, 1976",Pennsylvania State University
235,Keith Booth,1998,1999,F,6-6,226,"October 9, 1974",University of Maryland
236,Bob Boozer,1961,1971,F,6-8,215,"April 26, 1937",Kansas State University
237,Carlos Boozer,2003,2015,F-C,6-9,258,"November 20, 1981",Duke University
238,Curtis Borchardt,2004,2005,C,7-0,240,"September 13, 1980",Stanford University
239,Jake Bornheimer,1949,1950,F-C,6-5,200,"June 29, 1927",Muhlenberg College
240,Lazaro Borrell,2000,2000,F,6-8,220,"September 20, 1972",
241,Ike Borsavage,1951,1951,C-F,6-8,220,"July 25, 1924",Temple University
242,Vince Boryla,1950,1954,F,6-5,210,"March 11, 1927",University of Denver
243,Chris Bosh,2004,2016,F-C,6-11,235,"March 24, 1984",Georgia Institute of Technology
244,Jim Bostic,1978,1978,F,6-7,225,"January 28, 1953",New Mexico State University
245,Lawrence Boston,1980,1980,F,6-8,225,"May 18, 1956",University of Maryland
246,Tom Boswell,1976,1984,F-C,6-9,220,"October 2, 1953","South Carolina State University, University of South Carolina"
247,Chris Boucher,2018,2019,F,6-10,200,"January 11, 1993",University of Oregon
248,Ruben Boumtje-Boumtje,2002,2004,C,7-0,257,"May 20, 1978",Georgetown University
249,Don Boven,1950,1953,F-G,6-4,210,"March 6, 1925",Western Michigan University
250,Cal Bowdler,2000,2002,F,6-10,245,"March 31, 1977",Old Dominion University
251,Bruce Bowen,1997,2009,F,6-7,185,"June 14, 1971","California State University, Fullerton"
252,Ryan Bowen,2000,2010,F,6-7,215,"November 20, 1975",University of Iowa
253,Tommie Bowens,1968,1970,F-C,6-8,220,"July 7, 1940",Grambling State University
254,Anthony Bowie,1989,1998,G-F,6-6,190,"November 9, 1963",University of Oklahoma
255,Sam Bowie,1985,1995,C-F,7-1,235,"March 17, 1961",University of Kentucky
256,Orbie Bowling,1968,1968,C,6-10,215,"March 21, 1939",University of Tennessee
257,Ira Bowman,2000,2002,G,6-5,195,"June 11, 1973","Providence College, University of Pennsylvania"
258,Nate Bowman,1967,1972,C,6-10,230,"March 19, 1943",Wichita State University
259,Donnie Boyce,1996,1997,G,6-5,196,"September 2, 1973",University of Colorado
260,Dennis Boyd,1979,1979,G,6-1,175,"May 21, 1954",University of Detroit Mercy
261,Freddie Boyd,1973,1978,G,6-2,180,"June 13, 1950",Oregon State University
262,Ken Boyd,1975,1975,F,6-5,195,"March 25, 1952",Boston University
263,Earl Boykins,1999,2012,G,5-5,135,"June 2, 1976",Eastern Michigan University
264,Harry Boykoff,1950,1951,C,6-10,225,"July 24, 1922",St. John's University
265,Winford Boynes,1979,1981,G-F,6-6,185,"May 17, 1957",University of San Francisco
266,Cedric Bozeman,2007,2007,G,6-6,207,"March 7, 1983","University of California, Los Angeles"
267,Steve Bracey,1973,1975,G,6-1,175,"August 1, 1950",University of Tulsa
268,Craig Brackins,2011,2012,F,6-10,230,"October 9, 1987",Iowa State University
269,Gary Bradds,1965,1971,F,6-8,210,"July 26, 1942",Ohio State University
270,Alex Bradley,1982,1982,F,6-6,215,"October 30, 1959",Villanova University
271,Alonzo Bradley,1978,1980,F,6-6,190,"October 16, 1953",Texas Southern University
272,Avery Bradley,2011,2019,G,6-2,180,"November 26, 1990",University of Texas at Austin
273,Bill Bradley,1968,1968,G,5-11,165,"June 16, 1941",
274,Bill Bradley*,1968,1977,F-G,6-5,205,"July 28, 1943",Princeton University
275,Charles Bradley,1982,1984,G,6-5,215,"May 16, 1959",University of Wyoming
276,Dudley Bradley,1980,1989,G-F,6-6,195,"March 19, 1957",University of North Carolina
277,Jim Bradley,1974,1976,F,6-8,215,"March 16, 1952",Northern Illinois University
278,Joe Bradley,1950,1950,G,6-3,175,"September 24, 1928",Oklahoma State University
279,Michael Bradley,2002,2006,F-C,6-10,245,"April 18, 1979","University of Kentucky, Villanova University"
280,Shawn Bradley,1994,2005,C,7-6,235,"March 22, 1972",Brigham Young University
281,Tony Bradley,2018,2019,F-C,6-10,248,"January 8, 1998",University of North Carolina
282,Mark Bradtke,1997,1997,C-F,6-10,265,"September 27, 1968",
283,Marques Bragg,1996,1996,F,6-8,230,"March 24, 1970",Providence College
284,Torraye Braggs,2004,2005,F,6-8,245,"May 15, 1976",Xavier University
285,A.J. Bramlett,2000,2000,C,6-10,227,"January 10, 1977",University of Arizona
286,Adrian Branch,1987,1990,F-G,6-7,185,"November 17, 1963",University of Maryland
287,Elton Brand,2000,2016,F,6-8,275,"March 11, 1979",Duke University
288,Terrell Brandon,1992,2002,G,5-11,180,"May 20, 1970",University of Oregon
289,Bob Brannum,1950,1955,F-C,6-5,215,"May 28, 1925",Michigan State University
290,Brad Branson,1982,1983,C-F,6-10,220,"September 24, 1958",Southern Methodist University
291,Jesse Branson,1966,1968,F,6-7,195,"January 7, 1942",Elon University
292,Jim Brasco,1953,1953,G,6-1,170,"February 3, 1931",New York University
293,Mike Bratz,1978,1986,G,6-2,185,"October 17, 1955",Stanford University
294,Carl Braun*,1948,1962,G-F,6-5,180,"September 25, 1927",Colgate University
295,Tim Breaux,1995,1998,F,6-7,215,"September 19, 1970",University of Wyoming
296,J.R. Bremer,2003,2004,G,6-2,185,"September 19, 1980",St. Bonaventure University
297,Pete Brennan,1959,1959,F,6-6,205,"September 23, 1936",University of North Carolina
298,Tom Brennan,1955,1955,F,6-3,195,"August 6, 1930",Villanova University
299,Randy Breuer,1984,1994,C,7-3,230,"October 11, 1960",University of Minnesota
300,Corey Brewer,2008,2019,F-G,6-9,186,"March 5, 1986",University of Florida
301,Jamison Brewer,2002,2005,G,6-4,184,"November 19, 1980",Auburn University
302,Jim Brewer,1974,1982,F-C,6-9,210,"December 3, 1951",University of Minnesota
303,Ron Brewer,1979,1986,G,6-4,180,"September 16, 1955",University of Arkansas
304,Ronnie Brewer,2007,2014,G-F,6-7,220,"March 20, 1985",University of Arkansas
305,Primoz Brezec,2002,2010,C,7-2,252,"October 2, 1979",
306,Frankie Brian,1950,1956,G,6-1,180,"May 1, 1923",Louisiana State University
307,Frank Brickowski,1985,1997,F-C,6-9,240,"August 14, 1959",Pennsylvania State University
308,Junior Bridgeman,1976,1987,F-G,6-5,210,"September 17, 1953",University of Louisville
309,Bill Bridges,1963,1975,F-C,6-6,228,"April 4, 1939",University of Kansas
310,Mikal Bridges,2019,2019,G,6-7,210,"August 30, 1996",Villanova University
311,Miles Bridges,2019,2019,G-F,6-7,225,"March 21, 1998",Michigan State University
312,Al Brightman,1947,1947,F,6-2,195,"September 22, 1923",University of Charleston
313,Aud Brindley,1947,1947,F,6-4,175,"December 31, 1923",Dartmouth College
314,Isaiah Briscoe,2019,2019,G,6-3,215,"April 13, 1996",University of Kentucky
315,John Brisker,1970,1975,F-G,6-5,210,"June 15, 1947",University of Toledo
316,Allan Bristow,1974,1983,F-G,6-7,210,"August 23, 1951",Virginia Polytechnic Institute and State University
317,Tyrone Britt,1968,1968,G,6-4,190,"April 18, 1944",Johnson C. Smith University
318,Wayman Britt,1978,1978,G,6-2,185,"August 31, 1952",University of Michigan
319,Mike Brittain,1986,1987,C,7-0,235,"June 21, 1963",University of South Carolina
320,Dave Britton,1981,1981,G,6-4,180,"August 29, 1958",Texas A&M University
321,Jon Brockman,2010,2012,F,6-7,255,"March 20, 1987",University of Washington
322,Ryan Broekhoff,2019,2019,F,6-7,215,"August 23, 1990",Valparaiso University
323,Jim Brogan,1982,1983,G,6-4,185,"February 24, 1958",West Virginia Wesleyan College
324,Malcolm Brogdon,2017,2019,G,6-5,229,"December 11, 1992",University of Virginia
325,Gary Brokaw,1975,1978,G,6-4,178,"January 11, 1954",University of Notre Dame
326,Price Brookfield,1949,1950,F-G,6-4,185,"May 11, 1920",West Texas A&M University
327,Clarence Brookins,1971,1971,F,6-4,190,,Temple University
328,Aaron Brooks,2008,2018,G,6-0,161,"January 14, 1985",University of Oregon
329,Dillon Brooks,2018,2019,F-G,6-6,220,"January 22, 1996",University of Oregon
330,Kevin Brooks,1992,1994,F,6-6,200,"October 12, 1969",University of Louisiana at Lafayette
331,MarShon Brooks,2012,2019,G-F,6-5,200,"January 26, 1989",Providence College
332,Michael Brooks,1981,1988,F,6-7,220,"August 17, 1958",La Salle University
333,Scott Brooks,1989,1998,G,5-11,165,"July 31, 1965","Texas Christian University, University of California, Irvine"
334,Andre Brown,2007,2009,F,6-9,245,"May 12, 1981",DePaul University
335,Anthony Brown,2016,2018,F-G,6-7,210,"October 10, 1992",Stanford University
336,Bob Brown,1949,1950,F,6-4,205,"November 12, 1923",Miami University
337,Bobby Brown,2009,2018,G,6-2,175,"September 24, 1984","California State University, Fullerton"
338,Bruce Brown,2019,2019,G,6-5,202,"August 15, 1996",University of Miami
339,Chucky Brown,1990,2002,F,6-7,214,"February 29, 1968",North Carolina State University
340,Damone Brown,2002,2005,F,6-9,200,"June 28, 1979",Syracuse University
341,Darrell Brown,1949,1949,F,6-2,175,"March 14, 1923",Humboldt State University
342,Dee Brown,1991,2002,G,6-1,160,"November 29, 1968",Jacksonville University
343,Dee Brown,2007,2009,G,6-0,185,"August 17, 1984",University of Illinois at Urbana-Champaign
344,Derrick Brown,2010,2012,F,6-7,225,"September 8, 1987",Xavier University
345,Devin Brown,2003,2010,G,6-5,220,"December 30, 1978",University of Texas at San Antonio
346,Ernest Brown,2002,2002,C,7-0,244,"May 17, 1979",Indian Hills Community College
347,Fred Brown,1972,1984,G,6-3,182,"August 7, 1948",University of Iowa
348,George Brown,1958,1958,F,6-6,190,"October 30, 1935",Wayne State University
349,Gerald Brown,1999,1999,G,6-4,210,"July 28, 1975",Pepperdine University
350,Harold Brown,1947,1947,G,6-0,155,"October 2, 1923",University of Evansville
351,Jabari Brown,2015,2015,G,6-4,215,"December 18, 1992","University of Oregon, University of Missouri"
352,Jaylen Brown,2017,2019,F-G,6-7,220,"October 24, 1996",University of California
353,John Brown,1974,1980,F,6-7,220,"December 14, 1951",University of Missouri
354,Kedrick Brown,2002,2005,G,6-7,222,"March 18, 1981",Okaloosa-Walton Community College
355,Kwame Brown,2002,2013,F,6-11,270,"March 10, 1982",
356,Larry Brown*,1968,1972,G,5-9,160,"September 14, 1940",University of North Carolina
357,Leon Brown,1947,1947,F,6-3,190,"October 12, 1919",University of Wyoming
358,Lewis Brown,1981,1981,C,6-11,225,"February 19, 1955","University of Nevada, Las Vegas"
359,Lorenzo Brown,2014,2019,G,6-5,189,"August 26, 1990",North Carolina State University
360,Marcus Brown,1997,2000,G,6-3,185,"April 3, 1974",Murray State University
361,Markel Brown,2015,2018,G,6-3,190,"January 29, 1992",Oklahoma State University
362,Mike Brown,1987,1997,C-F,6-9,257,"July 19, 1963",George Washington University
363,Myron Brown,1992,1992,G,6-3,180,"November 3, 1969",Slippery Rock University of Pennsylvania
364,P.J. Brown,1994,2008,F-C,6-11,225,"October 14, 1969",Louisiana Tech University
365,Randy Brown,1992,2003,G,6-2,190,"May 22, 1968","University of Houston, New Mexico State University"
366,Raymond Brown,1990,1990,F,6-8,220,"July 5, 1965","Mississippi State University, University of Idaho"
367,Rickey Brown,1981,1985,C-F,6-10,215,"August 20, 1958",Mississippi State University
368,Roger Brown*,1968,1975,F-G,6-5,205,"May 22, 1942",University of Dayton
369,Roger Brown,1973,1980,C,6-11,225,"February 23, 1950",University of Kansas
370,Shannon Brown,2007,2015,G,6-4,205,"November 29, 1985",Michigan State University
371,Stan Brown,1948,1952,F,6-3,200,"June 27, 1929",
372,Sterling Brown,2018,2019,G,6-6,232,"February 10, 1995",Southern Methodist University
373,Tierre Brown,2002,2005,G,6-2,189,"June 3, 1979",McNeese State University
374,Tony Brown,1985,1992,F-G,6-6,185,"July 29, 1960",University of Arkansas
375,Troy Brown,2019,2019,G-F,6-7,215,"July 28, 1999",University of Oregon
376,Jim Browne,1949,1950,C,6-10,235,"January 1, 1930",
377,Stanley Brundy,1990,1990,F,6-6,210,"November 13, 1967",DePaul University
378,Brian Brunkhorst,1969,1969,F,6-6,208,"June 12, 1945",Marquette University
379,George Bruns,1973,1973,G,6-0,160,"August 30, 1946",Manhattan College
380,Jalen Brunson,2019,2019,G,6-3,190,"August 31, 1996",Villanova University
381,Rick Brunson,1998,2006,G,6-4,190,"June 14, 1972",Temple University
382,Nicolas Brussino,2017,2018,G-F,6-7,195,"March 2, 1993",
383,Em Bryant,1965,1972,G,6-1,175,"November 4, 1938",DePaul University
384,Joe Bryant,1976,1983,F-C,6-9,185,"October 19, 1954",La Salle University
385,Kobe Bryant,1997,2016,G-F,6-6,212,"August 23, 1978",
386,Mark Bryant,1989,2003,F-C,6-9,245,"April 25, 1965",Seton Hall University
387,Thomas Bryant,2018,2019,C,6-11,248,"July 31, 1997",Indiana University
388,Wallace Bryant,1984,1986,C,7-0,245,"July 14, 1959",University of San Francisco
389,Torgeir Bryn,1990,1990,C,6-9,250,"August 8, 1964",Texas State University
390,George Bucci,1976,1976,G,6-3,200,"July 9, 1953",Manhattan College
391,Joe Buckhalter,1962,1963,F,6-7,210,"August 1, 1937",Tennessee State University
392,Steve Bucknall,1990,1990,G,6-6,215,"March 17, 1966",University of North Carolina
